"Edad" "Sexo" "Marca"
25 "Mujer" "D"
66 "Hombre" "A"
28 "Mujer" "D"
58 "Mujer" "A"
26 "Hombre" "D"
54 "Mujer" "C"
55 "Mujer" "B"
23 "Hombre" "A"
57 "Hombre" "A"
27 "Hombre" "A"
26 "Mujer" "D"
56 "Mujer" "C"
56 "Hombre" "D"
25 "Hombre" "C"
52 "Mujer" "C"
28 "Hombre" "D"
56 "Hombre" "D"
23 "Mujer" "D"
28 "Hombre" "D"
55 "Mujer" "A"
53 "Mujer" "A"
22 "Mujer" "C"
27 "Mujer" "C"
55 "Hombre" "A"
28 "Mujer" "C"
56 "Mujer" "D"
54 "Hombre" "D"
22 "Mujer" "B"
26 "Mujer" "A"
23 "Mujer" "B"
23 "Hombre" "D"
26 "Mujer" "C"
25 "Hombre" "A"
24 "Hombre" "B"
55 "Hombre" "A"
20 "Hombre" "D"
20 "Hombre" "D"
63 "Hombre" "C"
56 "Mujer" "A"
27 "Hombre" "C"
54 "Hombre" "A"
56 "Mujer" "B"
28 "Hombre" "C"
64 "Hombre" "A"
18 "Hombre" "D"
22 "Hombre" "C"
63 "Mujer" "A"
18 "Mujer" "D"
57 "Hombre" "A"
52 "Mujer" "C"
57 "Hombre" "D"
20 "Mujer" "D"
25 "99" "B"
22 "Hombre" "A"
54 "Hombre" "B"
63 "Hombre" "A"
65 "Mujer" "A"
28 "Mujer" "C"
26 "Hombre" "D"
65 "Mujer" "A"
54 "Hombre" "D"
18 "Hombre" "D"
18 "Mujer" "D"
20 "Mujer" "A"
22 "Mujer" "A"
52 "Mujer" "D"
18 "Mujer" "D"
22 "Hombre" "A"
57 "Mujer" "C"
26 "Hombre" "D"
57 "Mujer" "B"
66 "Hombre" "A"
53 "Hombre" "A"
23 "Hombre" "D"
64 "Mujer" "C"
65 "Hombre" "A"
54 "Mujer" "A"
52 "Hombre" "C"
23 "99" "A"
18 "Mujer" "99"
55 "Hombre" "D"
55 "Hombre" "B"
62 "Mujer" "A"
27 "Mujer" "B"
28 "Hombre" "A"
24 "Hombre" "A"
51 "Mujer" "D"
26 "Mujer" "A"
21 "Hombre" "D"
24 "Mujer" "B"
22 "Hombre" "A"
22 "Hombre" "D"
63 "Hombre" "A"
61 "Hombre" "A"
